iter	Passed	Remaining
0	86	86517
1	99	49790
2	114	37926
3	127	31800
4	131	26111
5	144	23866
6	156	22180
7	168	20877
8	180	19877
9	192	19056
10	205	18449
11	217	17891
12	229	17421
13	245	17314
14	258	16962
15	270	16665
16	282	16363
17	294	16076
18	307	15854
19	319	15661
20	331	15464
21	343	15283
22	350	14907
23	362	14761
24	374	14612
25	386	14492
26	398	14364
27	410	14244
28	422	14136
29	434	14045
30	446	13948
31	458	13858
32	470	13777
33	482	13715
34	494	13642
35	508	13608
36	521	13573
37	533	13513
38	546	13456
39	558	13394
40	570	13338
41	582	13277
42	594	13222
43	606	13169
44	618	13119
45	630	13080
46	643	13038
47	655	12992
48	667	12945
49	679	12908
50	691	12863
51	703	12826
52	715	12783
53	727	12742
54	739	12701
55	751	12663
56	762	12622
57	775	12588
58	787	12565
59	799	12533
60	811	12497
61	824	12467
62	836	12434
63	848	12404
64	860	12375
65	871	12339
66	884	12312
67	896	12283
68	907	12248
69	919	12219
70	931	12193
71	943	12163
72	955	12139
73	967	12111
74	979	12084
75	991	12058
76	1003	12034
77	1016	12013
78	1028	11993
79	1041	11974
80	1053	11952
81	1065	11926
82	1077	11904
83	1089	11885
84	1101	11862
85	1113	11836
86	1125	11813
87	1138	11795
88	1150	11771
89	1161	11747
90	1174	11727
91	1185	11703
92	1197	11677
93	1209	11656
94	1221	11634
95	1233	11616
96	1245	11596
97	1257	11575
98	1269	11557
99	1281	11537
100	1294	11518
101	1308	11523
102	1326	11553
103	1341	11555
104	1354	11542
105	1366	11524
106	1378	11505
107	1390	11485
108	1402	11468
109	1415	11448
110	1426	11428
111	1440	11419
112	1452	11402
113	1464	11383
114	1477	11367
115	1488	11346
116	1500	11326
117	1512	11308
118	1525	11292
119	1537	11273
120	1549	11254
121	1561	11237
122	1573	11219
123	1585	11201
124	1597	11181
125	1609	11162
126	1621	11143
127	1633	11128
128	1645	11109
129	1657	11092
130	1669	11075
131	1681	11058
132	1694	11043
133	1705	11025
134	1717	11007
135	1730	10991
136	1741	10972
137	1753	10955
138	1765	10936
139	1777	10920
140	1789	10901
141	1801	10886
142	1813	10870
143	1825	10853
144	1838	10838
145	1850	10821
146	1861	10802
147	1873	10786
148	1885	10768
149	1897	10752
150	1909	10735
151	1921	10718
152	1933	10702
153	1945	10686
154	1957	10671
155	1969	10655
156	1981	10638
157	1993	10622
158	2005	10607
159	2017	10591
160	2029	10574
161	2041	10559
162	2053	10543
163	2065	10529
164	2078	10519
165	2091	10506
166	2103	10492
167	2116	10482
168	2128	10466
169	2140	10451
170	2152	10436
171	2164	10420
172	2176	10405
173	2188	10389
174	2200	10373
175	2212	10359
176	2224	10344
177	2236	10328
178	2248	10312
179	2260	10297
180	2272	10282
181	2284	10268
182	2296	10253
183	2308	10239
184	2320	10224
185	2333	10210
186	2345	10197
187	2357	10183
188	2369	10169
189	2382	10155
190	2393	10139
191	2406	10125
192	2418	10113
193	2430	10099
194	2443	10085
195	2454	10069
196	2466	10054
197	2478	10040
198	2490	10026
199	2502	10011
200	2514	9996
201	2526	9981
202	2538	9967
203	2550	9951
204	2562	9937
205	2574	9922
206	2586	9909
207	2599	9896
208	2610	9881
209	2622	9866
210	2634	9852
211	2647	9838
212	2658	9824
213	2671	9812
214	2684	9800
215	2695	9784
216	2707	9770
217	2720	9757
218	2731	9742
219	2744	9729
